# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

TGCCS_CT2,"[0, 0, 744, 0, 0, 0, 0, 0]"
FO_FORMOSG8,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG6,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG7,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG4,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG5,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG2,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG1,"[0, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
LZ_AEN,"[0, 0, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
PENA_ALL,"[2, 47029, 5113, 5663, 42110, 2, 44510, 43718, 16796, 42110, 47029, 11853, 11853, 11853, 11853, 11853, 0, 35368, 35368]"
